date,race,count,frac,Race
2021-02-12,ASIAN,10862,0.08938111681960559,Asian
2021-02-12,BLACK OR AFRICAN AMERICAN,64867,0.05573446360090933,Black/AfAm
2021-02-12,OTHER/MULTIRACIAL,89608,0.3300228830548328,OTHER/MULTIRACIAL
2021-02-12,UNKNOWN,120456,0,UNKNOWN
2021-02-12,WHITE,690015,0.12808043197868635,Caucasian/White
2021-02-13,ASIAN,11168,0.09189912655508702,Asian
2021-02-13,BLACK OR AFRICAN AMERICAN,66761,0.05736180992585301,Black/AfAm
2021-02-13,OTHER/MULTIRACIAL,92595,0.3410238913541452,OTHER/MULTIRACIAL
2021-02-13,UNKNOWN,120748,0,UNKNOWN
2021-02-13,WHITE,714435,0.13261326698795356,Caucasian/White
2021-02-14,ASIAN,11362,0.0934955118122223,Asian
2021-02-14,BLACK OR AFRICAN AMERICAN,68053,0.058471911009183135,Black/AfAm
2021-02-14,OTHER/MULTIRACIAL,95555,0.3519254596721782,OTHER/MULTIRACIAL
2021-02-14,UNKNOWN,122349,0,UNKNOWN
2021-02-14,WHITE,723522,0.1342999939219917,Caucasian/White
2021-02-15,ASIAN,11448,0.09420318775095238,Asian
2021-02-15,BLACK OR AFRICAN AMERICAN,68635,0.058971972023500574,Black/AfAm
2021-02-15,OTHER/MULTIRACIAL,96424,0.3551259538844656,OTHER/MULTIRACIAL
2021-02-15,UNKNOWN,122459,0,UNKNOWN
2021-02-15,WHITE,727952,0.13512228954406597,Caucasian/White
2021-02-16,ASIAN,11526,0.09484503336980059,Asian
2021-02-16,BLACK OR AFRICAN AMERICAN,69100,0.05937150530813564,Black/AfAm
2021-02-16,OTHER/MULTIRACIAL,97798,0.36018634404290395,OTHER/MULTIRACIAL
2021-02-16,UNKNOWN,123045,0,UNKNOWN
2021-02-16,WHITE,734654,0.1363663133045946,Caucasian/White
2021-02-17,ASIAN,11710,0.09635913072708353,Asian
2021-02-17,BLACK OR AFRICAN AMERICAN,70224,0.060337258882178245,Black/AfAm
2021-02-17,OTHER/MULTIRACIAL,99975,0.3682041529038357,OTHER/MULTIRACIAL
2021-02-17,UNKNOWN,124039,0,UNKNOWN
2021-02-17,WHITE,748470,0.13893083617470253,Caucasian/White
2021-02-18,ASIAN,11896,0.09788968566433695,Asian
2021-02-18,BLACK OR AFRICAN AMERICAN,71435,0.061377763844959035,Black/AfAm
2021-02-18,OTHER/MULTIRACIAL,101379,0.37337503193036214,OTHER/MULTIRACIAL
2021-02-18,UNKNOWN,124034,0,UNKNOWN
2021-02-18,WHITE,760235,0.14111465287757022,Caucasian/White
2021-02-19,ASIAN,12026,0.0989594283624173,Asian
2021-02-19,BLACK OR AFRICAN AMERICAN,72201,0.06203591975040088,Black/AfAm
2021-02-19,OTHER/MULTIRACIAL,103904,0.3826745116611167,OTHER/MULTIRACIAL
2021-02-19,UNKNOWN,124679,0,UNKNOWN
2021-02-19,WHITE,772372,0.14336752013831863,Caucasian/White
2021-02-20,ASIAN,12145,0.09993865437066009,Asian
2021-02-20,BLACK OR AFRICAN AMERICAN,72846,0.06259011108070114,Black/AfAm
2021-02-20,OTHER/MULTIRACIAL,106103,0.39077334569197975,OTHER/MULTIRACIAL
2021-02-20,UNKNOWN,124978,0,UNKNOWN
2021-02-20,WHITE,783158,0.14536961507730128,Caucasian/White
2021-02-21,ASIAN,12330,0.10146098051792826,Asian
2021-02-21,BLACK OR AFRICAN AMERICAN,73723,0.06334363944763652,Black/AfAm
